Dataset {
    Sequence {
        String time;
        Float64 GFF_CHL;
        Float64 urea_uM;
        Float64 ammonium_uM;
        Float64 nitrate_uM;
        Float64 phosphate_uM;
        Float64 silicate_uM;
        Int16 Pn_abundance;
        Float64 Paustralis;
        Float64 Pmultiseries;
        Float64 Alexandrium;
    } CPMT_SCWHARF;
} CPMT2;
---------------------------------------------
CPMT_SCWHARF.time, CPMT_SCWHARF.GFF_CHL, CPMT_SCWHARF.urea_uM, CPMT_SCWHARF.ammonium_uM, CPMT_SCWHARF.nitrate_uM, CPMT_SCWHARF.phosphate_uM, CPMT_SCWHARF.silicate_uM, CPMT_SCWHARF.Pn_abundance, CPMT_SCWHARF.Paustralis, CPMT_SCWHARF.Pmultiseries, CPMT_SCWHARF.Alexandrium
"2007-11-20 00:00:00.0", NaN, NaN, 0.0, 2.744, 0.8705, 18.73, 0, NaN, NaN, NaN
"2007-11-21 07:20:00.0", 24.6392, 5.30552147239264, 0.0, 0.6276, 0.8405, 15.78, 0, 0.0, 0.0, 40.0
"2007-11-28 07:15:00.0", 26.6448, 0.561349693251534, 0.0, 0.7, 0.86, 15.54, 1, 250.0, 0.0, 0.0
"2007-12-05 07:15:00.0", 9.5259, 1.42147239263804, 0.0, 12.0, 1.1, 17.1, 3, 1100.0, 0.0, 0.0
"2007-12-12 08:10:00.0", 2.2568, 1.27546012269939, 0.0, 9.41, 1.15, 22.02, 2, 0.0, 0.0, 0.0
"2007-12-19 08:40:00.0", NaN, 0.843868521, 0.0, 7.33, 0.92, 17.93, 3, 1650.0, 0.0, 213.333333333333
"2008-01-09 08:00:00.0", 1.3395, 0.320480405, 1.15, 14.71, 1.06, 18.3, 0, 0.0, 0.0, 0.0
"2008-01-16 08:00:00.0", 1.9583, 0.50505689, 1.49, 11.63, 1.04, 19.0, 0, 0.0, 0.0, 0.0
"2008-01-22 08:00:00.0", 1.6234, 2.02022756, 1.48, 10.73, 1.02, 14.35, 0, 0.0, 0.0, 0.0
"2008-01-29 08:00:00.0", 2.1185, 0.500632111, 0.68, 8.02, 0.78, 13.48, 1, 0.0, 0.0, 0.0
"2008-02-05 08:40:00.0", 1.7254, 0.917193426, 1.22, 9.52, 0.93, 15.83, 0, 0.0, 0.0, 0.0
"2008-02-12 08:53:00.0", 2.5043, 0.939135727, 1.32, 8.5, 0.9, 17.2, 0, 0.0, 0.0, 0.0
"2008-02-19 08:15:00.0", 2.963, 0.251369446, 1.01, 14.9, 1.05, 18.69, 1, 0.0, 0.0, 0.0
"2008-02-26 08:30:00.0", 2.3624, 0.481436397, 1.66, 12.64, 1.06, 25.4, 0, 0.0, 0.0, 0.0
"2008-03-04 08:40:00.0", 1.0083, 0.482653682, 1.5, 11.25, 0.93, 17.03, 0, 0.0, 0.0, 0.0
"2008-03-11 09:05:00.0", 2.5516, 0.239805234, 1.09, 9.41, 0.79, 15.7, 0, 0.0, 0.0, 0.0
"2008-03-18 08:35:00.0", 23.3251, 0.276323798, 0.47, 12.61, 0.85, 15.69, 0, 0.0, 0.0, 0.0
"2008-03-25 08:10:00.0", 12.6963, 1.700662252, 2.45, 6.66, 0.93, 8.58, 0, 0.0, 0.0, 0.0
"2008-04-01 08:43:00.0", 4.3607, 1.723178808, 1.72, 15.31, 1.22, 10.12, 0, 0.0, 0.0, 0.0
"2008-04-08 08:40:00.0", 2.3296, 1.972847682, 2.29, 18.17, 1.68, 13.63, 0, 0.0, 0.0, 0.0
"2008-04-15 08:50:00.0", 4.9322, 0.195364238, 0.2, 0.06, 0.15, 2.51, 0, 0.0, 0.0, 0.0
"2008-04-22 08:45:00.0", 7.1235, 0.80397351, 1.79, 21.78, 1.8, 28.2, 0, 0.0, 0.0, 0.0
"2008-04-29 07:56:00.0", 7.2982, 0.227152318, 0.39, 0.24, 0.27, 3.64, 0, 0.0, 0.0, 0.0
"2008-05-06 08:45:00.0", 3.9676, 3.436423841, 2.28, 2.84, 0.8, 5.0, 0, 0.0, 0.0, 0.0
"2008-05-13 08:00:00.0", 10.7489, 0.356291391, NaN, 0.68, 0.4, 3.23, 0, 0.0, 0.0, 40.0
"2008-05-20 08:50:00.0", 8.9071, 0.827152318, NaN, 2.87, 0.76, 7.56, 0, 0.0, 0.0, 0.0
"2008-05-27 09:05:00.0", 22.7536, 0.2, NaN, 1.85, 0.39, 1.67, 1, 1150.0, 0.0, 0.0
"2008-06-01 08:07:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 0, NaN, NaN, NaN
"2008-06-03 07:00:00.0", 6.6539, 1.157991427, NaN, 0.71, 0.49, 2.85, 2, 250.0, 0.0, 0.0
"2008-06-10 06:50:00.0", 12.1794, 0.275566442, NaN, 2.17, 0.41, 3.53, 3, 0.0, 0.0, 0.0
"2008-06-17 08:15:00.0", 7.6549, 0.640538885, NaN, 3.2, 0.4, 6.0, 1, 150.0, 0.0, 0.0
"2008-06-24 06:55:00.0", 13.6136, 0.481322719, NaN, 1.9, 0.4, 4.7, 0, 0.0, 0.0, 0.0
"2008-07-01 08:07:00.0", 5.7985, 0.562155542, NaN, 6.01, 0.7, 8.67, 3, 750.0, 0.0, 80.0
"2008-07-08 08:00:00.0", 4.8667, 0.503368034, NaN, 0.5, 0.3, 5.5, 4, 0.0, 0.0, 0.0
"2008-07-15 08:45:00.0", 5.5328, 0.542559706, NaN, 1.0, 0.4, 12.6, 2, 0.0, 0.0, 40.0
"2008-07-22 07:40:00.0", 3.6364, 0.24004899, NaN, 1.61, 0.29, 7.95, 3, 13400.0, 0.0, 0.0
"2008-07-29 07:50:00.0", 8.5722, 0.111320755, 0.6, 1.1, 0.4, 9.1, 4, 15300.0, 0.0, 26.6666666666667
"2008-08-05 07:30:00.0", 7.6185, 0.199371069, 1.0, 0.5, 0.4, 5.9, 4, 79350.0, 0.0, 80.0
"2008-08-12 08:20:00.0", 6.2717, 0.151572327, 0.8, 0.3, 0.4, 3.3, 4, 150.0, 0.0, 40.0
"2008-08-19 07:50:00.0", 6.5192, 1.254716981, 26.1, 4.2, 0.8, 14.3, 4, 0.0, 0.0, 0.0
"2008-08-26 07:50:00.0", 12.7473, 0.171698113, 0.3, 0.1, 0.4, 14.8, 2, 0.0, 0.0, 0.0
