year,month,day,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1988,5,10,-0.372,-0.083,-0.288,-0.47,-0.229,-0.116,-0.084,0.312,0.423,0.173,0.373,0.439,0.512,0.069,0.176,0.295,0.29
1988,5,11,-0.051,0.025,-0.109,-0.143,0.289,0.408,0.276,0.588,0.513,-0.035,0.106,0.289,0.404,0.243,0.333,0.323,0.363
1988,5,12,-0.074,-0.241,-0.266,-0.433,-0.2,-0.393,-0.867,-0.421,-0.388,-0.22,0.118,0.061,0.536,0.553,0.499,0.631,0.976
1988,5,13,-0.68,-0.581,-0.562,-0.626,-0.253,-0.269,0.045,0.353,0.35,0.509,0.913,2.196,2.449,1.471,0.962,0.89,1.289
1988,5,14,-0.079,0.071,-0.009,-0.07,0.474,0.344,0.3,0.769,1.309,0.976,1.061,1.881,1.832,1.034,0.523,0.346,0.395
1988,5,15,-0.04,0.047,-0.035,-0.211,0.326,0.45,0.427,0.857,0.976,0.481,0.699,0.679,0.629,0.057,0.218,0.125,-0.097
1988,5,16,-0.419,-0.256,-0.468,-0.707,-0.299,-0.395,-0.362,0.199,0.302,0.194,0.753,0.082,0.287,0.144,0.431,0.152,0.03
1988,5,17,0.277,0.322,0.54,0.368,0.716,0.409,0.667,1.378,2.057,1.666,2.067,2.272,2.517,1.463,0.725,0.681,0.772
1988,5,18,0.516,0.533,0.822,0.812,1.267,1.004,0.871,1.335,2.205,1.58,2.253,2.638,2.343,1.463,0.663,0.451,0.538
1988,5,19,0.23,0.308,0.591,0.556,1.332,1.908,2.055,2.24,2.652,0.848,1.055,0.487,0.383,0.209,0.16,-0.022,-0.054
1988,5,20,0.702,0.674,0.983,0.754,1.536,1.498,1.332,1.425,1.398,0.486,1.198,-0.297,-0.048,-0.102,-0.024,-0.09,-0.159
1988,5,21,0.506,0.314,0.471,0.158,0.6,0.017,0.256,0.496,0.439,0.168,0.924,-0.577,-0.028,0.028,0.102,0.046,0.122
1988,5,22,0.232,0.391,0.641,0.696,1.824,1.964,2.901,3.559,3.462,2.086,2.233,1.093,1.343,0.836,0.415,0.209,0.223
1988,5,23,0.422,0.524,0.997,1.099,2.954,3.731,4.416,5.141,5.862,3.565,3.25,2.759,2.203,1.078,0.432,0.273,0.206
1988,5,24,-0.046,-0.159,-0.171,-0.466,0.043,-0.182,0.03,0.327,1.253,0.203,0.757,1.084,1.207,0.824,0.388,0.161,0.176
1988,5,25,-0.426,-0.331,-0.197,-0.183,0.521,0.353,-0.104,0.261,0.958,0.027,0.358,0.681,1.359,1.141,0.678,0.517,0.56
1988,5,26,-0.817,-0.669,-0.811,-0.91,-0.196,0.033,-0.005,0.16,0.148,-0.47,-0.17,0.847,1.528,1.252,0.721,0.609,0.645
1988,5,27,-0.965,-0.965,-1.531,-1.417,-1.157,-0.677,-0.075,0.442,0.527,0.083,0.265,0.51,1.305,1.345,0.829,0.736,1.068
1988,5,28,-0.076,-0.074,-0.241,-0.45,-0.093,0.12,-0.074,0.519,0.487,0.248,0.126,-0.58,0.151,0.296,0.274,0.661,0.786
1988,5,29,-0.069,0.173,0.086,-0.101,0.59,0.806,0.572,1.498,1.751,1.183,1.161,0.897,2.073,2.607,1.334,1.069,1.17
1988,5,30,-0.495,-0.264,-0.47,-0.503,0.031,0.325,0.111,0.759,1.041,0.824,0.991,1.194,2.166,2.013,2.056,1.522,1.402
1988,5,31,-0.326,-0.22,-0.492,-0.677,-0.395,-0.121,-0.401,0.107,0.342,-0.276,-0.052,-0.273,1.122,0.286,0.13,0.329,0.243
1988,6,1,-0.614,-0.368,-0.621,-0.42,-0.053,0.337,-0.021,0.371,0.174,-0.341,0.145,-0.386,0.421,0.024,0.437,0.266,0.213
1988,6,2,-1.43,-1.285,-2.162,-2.241,-2.151,-1.721,-1.714,-0.449,0.178,0.14,0.455,0.25,1.171,0.694,0.83,0.355,0.203
1988,6,3,-0.8,0.149,-0.197,-0.169,0.101,0.053,-0.205,0.462,1.077,0.55,0.866,1.135,1.621,0.921,0.798,0.614,0.186
1988,6,4,0.452,0.614,0.543,0.17,0.333,0.252,-0.221,0.06,0.567,-0.029,0.401,1.007,1.378,0.977,0.776,0.69,0.695
1988,6,5,0.704,0.955,1.277,0.888,1.571,1.748,1.447,1.859,2.062,1.132,0.816,1.008,0.642,0.954,0.928,0.851,1.066
1988,6,6,0.386,0.346,0.55,0.431,1.174,1.183,0.874,0.608,0.61,0.043,0.167,0.111,-0.435,0.021,0.419,0.3,0.304
1988,6,7,-0.022,0.007,0.127,0.024,0.325,0.2,-0.281,-0.278,-0.179,-0.297,-0.083,0.136,-0.197,0.007,0.523,0.712,0.683
1988,6,8,-0.209,-0.062,-0.068,-0.246,-0.177,-0.355,-0.8,-0.71,-0.517,-0.153,0.022,0.711,0.485,0.61,0.927,1.023,0.898
1988,6,9,0.256,0.367,0.496,0.301,0.625,0.424,0.319,0.431,0.442,0.293,0.026,0.865,0.764,0.601,0.574,0.686,0.492
1988,6,10,0.292,0.347,0.598,0.429,1.027,1.109,1.073,1.437,1.811,1.087,0.724,1.201,0.851,0.539,0.7,0.634,0.343
1988,6,11,0.387,0.583,1.025,0.674,1.082,0.846,0.513,1.158,1.369,0.521,0.367,0.757,0.723,0.625,0.603,0.745,0.644
1988,6,12,0.526,0.564,1.016,0.866,1.464,1.528,1.1,1.429,1.967,1.025,0.669,1.015,1.437,0.693,0.698,0.564,0.324
1988,6,13,0.563,0.704,1.399,1.092,1.673,1.497,1.073,1.735,1.773,0.909,0.493,0.434,0.754,0.43,0.574,0.201,0.187
1988,6,14,0.704,0.705,1.069,0.761,1.564,1.245,1.16,1.721,1.138,0.427,0.054,-0.06,0.211,0.08,0.347,-0.093,-0.201
