#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 04 23 23 999 99.0 99.0  2.28 16.67 12.41 296 9999.0 999.0  12.7 999.0 99.0 99.00
2011 01 04 23 53 999 99.0 99.0  2.57 18.18 12.95 294 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 05 00 23 999 99.0 99.0  2.68 18.18 13.40 289 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 05 00 53 999 99.0 99.0  2.59 18.18 12.98 293 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 05 01 23 999 99.0 99.0  2.64 18.18 13.46 284 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 05 01 53 999 99.0 99.0  2.57 16.67 12.78 289 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 05 02 23 999 99.0 99.0  2.38 15.38 12.46 284 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 02 53 999 99.0 99.0  2.39 16.67 12.71 290 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 03 23 999 99.0 99.0  2.72 15.38 13.32 287 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 03 53 999 99.0 99.0  2.57 16.67 13.43 290 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 05 04 23 999 99.0 99.0  2.11 14.29 12.06 294 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 05 04 53 999 99.0 99.0  2.36 15.38 12.85 293 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 05 23 999 99.0 99.0  2.41 16.67 12.11 301 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 05 53 999 99.0 99.0  2.38 14.29 11.82 294 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 06 23 999 99.0 99.0  2.33 14.29 11.41 293 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 06 53 999 99.0 99.0  2.26 15.38 11.27 297 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 07 23 999 99.0 99.0  2.07 16.67 11.01 289 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 07 53 999 99.0 99.0  2.19 15.38 11.43 291 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 08 23 999 99.0 99.0  2.35 15.38 11.79 289 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 08 53 999 99.0 99.0  2.24 16.67 12.09 293 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 09 23 999 99.0 99.0  2.36 15.38 12.16 290 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 09 53 999 99.0 99.0  2.14 14.29 12.02 287 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 10 23 999 99.0 99.0  2.39 15.38 12.21 289 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 10 53 999 99.0 99.0  2.30 14.29 12.11 293 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 11 23 999 99.0 99.0  2.09 16.67 11.82 284 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 11 53 999 99.0 99.0  2.15 14.29 12.05 284 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 12 23 999 99.0 99.0  2.27 15.38 12.20 291 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 12 53 999 99.0 99.0  2.19 13.33 11.75 291 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 13 23 999 99.0 99.0  2.02 14.29 11.38 287 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 13 53 999 99.0 99.0  2.28 14.29 11.92 287 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 14 23 999 99.0 99.0  1.95 15.38 11.20 286 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 05 14 53 999 99.0 99.0  2.02 13.33 11.63 291 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 05 15 23 999 99.0 99.0  2.15 14.29 11.89 289 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 05 15 53 999 99.0 99.0  2.21 14.29 12.01 284 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 05 16 23 999 99.0 99.0  2.16 15.38 11.73 289 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 05 16 53 999 99.0 99.0  2.05 14.29 11.35 298 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 05 17 23 999 99.0 99.0  1.96 14.29 10.85 293 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 05 17 53 999 99.0 99.0  2.18 14.29 11.34 291 9999.0 999.0  11.9 999.0 99.0 99.00
