Project: Harmful Algal Blooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrated: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested start: 2011-10-05 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested end: 2018-07-19 22:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Request time: Thu, 19 Jul 2018 22:49:35 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Notes: All times provided in UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,month,day,time,latitude,longitude,depth (m),location,Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Chlorophyll 1 (mg/m3),Chlorophyll 2 (mg/m3),DA Volume Filtered (mL),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Phaeophytin (mg/m3),Phaeophytin 1 (mg/m3),Phaeophytin 2 (mg/m3),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Volume Settled for counting (mL),Water Temperature (°C)
2013,3,13,16:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.88,2.82,2.7,2.94,250,280,0,NaN,0.09,NaN,NaN,NaN,NaN,0.8,NaN,NaN,400,9.66,NaN,11.9
2013,3,20,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,270,2.04,6.27,6.24,6.3,250,NaN,0,NaN,1.39,NaN,NaN,NaN,NaN,1.19,NaN,NaN,200,5.21,NaN,11.8
2013,3,27,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,70,0.76,7.14,7,7.28,250,160,0,NaN,0.35,NaN,NaN,NaN,NaN,0.62,NaN,NaN,0,4.53,NaN,11.8
2013,4,3,16:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.85,5.8,5.8,5.8,250,NaN,0,NaN,0.86,NaN,NaN,NaN,NaN,0.92,NaN,NaN,0,11.3,NaN,12.7
2013,4,10,16:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,3.14,2.98,3.21,2.74,250,NaN,0,NaN,12.8,NaN,NaN,NaN,NaN,2.13,NaN,NaN,0,29.12,NaN,11.3
2013,4,17,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.37,15.44,16.17,14.7,250,NaN,0,NaN,14.5,NaN,NaN,NaN,NaN,1.77,NaN,NaN,2350,26.52,NaN,9.9
2013,4,24,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.93,9.55,10.08,9.03,250,NaN,0,NaN,1.03,NaN,NaN,NaN,NaN,0.52,NaN,NaN,0,2.39,NaN,12.3
2013,5,1,15:15:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.92,16.14,16.8,15.47,250,NaN,0.01,NaN,0.87,NaN,NaN,NaN,NaN,0.39,NaN,NaN,350,1.8,NaN,13
2013,5,8,17:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.4,14.11,13.93,14.28,250,90,0,NaN,6.2,NaN,NaN,NaN,NaN,0.79,NaN,NaN,2100,8.94,NaN,13.2
2013,5,15,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,40,0.56,6.2,6.24,6.15,250,1790,0,NaN,0.3,NaN,NaN,NaN,NaN,0.31,NaN,NaN,0,2.94,NaN,14.9
2013,5,22,16:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,4.03,10.57,10.43,10.71,250,0,0,NaN,16.89,NaN,NaN,NaN,NaN,1.39,NaN,NaN,1050,24.26,NaN,11.3
2013,5,29,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.29,16.41,15.89,16.94,250,NaN,0,NaN,0.16,NaN,NaN,NaN,NaN,0.27,NaN,NaN,0,1.11,NaN,13.8
2013,6,5,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,5.77,15.29,15.75,14.84,250,NaN,0,NaN,7.45,NaN,NaN,NaN,NaN,1.27,NaN,NaN,400,14.91,NaN,12.1
2013,6,12,15:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,5.12,6.88,6.62,7.14,250,534,0,NaN,3.31,NaN,NaN,NaN,NaN,1.02,NaN,NaN,0,9.63,NaN,13.3
2013,6,26,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,8.57,6.25,6.26,6.24,250,NaN,0,NaN,3.75,NaN,NaN,NaN,NaN,0.99,NaN,NaN,0,9.35,NaN,15.1
2013,7,3,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.28,4.67,4.17,5.17,250,2110,0.02,NaN,1.04,NaN,NaN,NaN,NaN,0.3,NaN,NaN,350,0.33,NaN,15.5
2013,7,10,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.29,3.26,2.93,3.58,250,1210,0,NaN,0.49,NaN,NaN,NaN,NaN,0.27,NaN,NaN,0,0.96,NaN,15.5
2013,7,17,20:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.5,2.83,2.89,2.77,250,NaN,0,NaN,0.29,NaN,NaN,NaN,NaN,0.19,NaN,NaN,0,1.39,NaN,15.5
2013,7,24,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.63,10.12,10.22,10.01,250,740,0,NaN,4.77,NaN,NaN,NaN,NaN,0.61,NaN,NaN,0,15.65,NaN,15.1
2013,7,31,15:15:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.16,13.09,13.23,12.95,250,560,0,NaN,3.95,NaN,NaN,NaN,NaN,0.62,NaN,NaN,0,28.81,NaN,14.1
2013,8,7,14:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,4.85,5.03,4.94,5.12,250,60,0,NaN,5.76,NaN,NaN,NaN,NaN,1.13,NaN,NaN,0,16.3,NaN,14
